"Title","Year","main_genre","Subgenre 1","Subgenre 2","main_origin","Director","IMDB.rating","Rating.count","rating","writer","star","budget","gross","company","runtime"
"Logan",2017,"Drama","Action","Thriller","USA","James Mangold",8.1,525287,"R","James Mangold","Hugh Jackman",9.7e+07,619179950,"Twentieth Century Fox",137
"The Princess Bride",1987,"Romance","Fantasy","Adventure","USA","Rob Reiner",8.1,348679,"PG","William Goldman","Cary Elwes",1.6e+07,30902642,"Act III Communications",98
"Catch Me If You Can",2002,"Drama","Biography","Crime","Canada","Steven Spielberg",8.1,689344,"PG-13","Jeff Nathanson","Leonardo DiCaprio",5.2e+07,352114312,"Dreamworks Pictures",141
"Harry Potter and the Deathly Hallows: Part 2",2011,"Drama","Fantasy","Adventure","USA","David Yates",8.1,670287,"PG-13","Steve Kloves","Daniel Radcliffe",1.25e+08,1342321665,"Warner Bros.",130
"Monsters, Inc.",2001,"Comedy","Adventure","Animation","USA","Pete Docter",8.1,715474,"G","Pete Docter","Billy Crystal",1.15e+08,579707738,"Pixar Animation Studios",92
"Dead Poets Society",1989,"Drama","Comedy",NA,"USA","Peter Weir",8.1,353575,"PG","Tom Schulman","Robin Williams",16400000,235860116,"Touchstone Pictures",128
"Donnie Darko",2001,"Drama","Thriller",NA,"USA","Richard Kelly",8.1,682933,"R","Richard Kelly","Jake Gyllenhaal",6e+06,6981586,"Pandora Cinema",113
"The Terminator",1984,"Action",NA,NA,"USA","James Cameron",8,709323,"R","James Cameron","Arnold Schwarzenegger",6400000,78371200,"Cinema '84",107
"Gandhi",1982,"Drama","Biography","History","India","Richard Attenborough",8.1,203124,"PG","John Briley","Ben Kingsley",2.2e+07,52767889,"International Film Investors",191
"Groundhog Day",1993,"Comedy","Romance","Fantasy","USA","Harold Ramis",8,527321,"PG","Danny Rubin","Bill Murray",14600000,71074049,"Columbia Pictures",101
"The Help",2011,"Drama",NA,NA,"India","Tate Taylor",8.1,382422,"PG-13","Tate Taylor","Emma Stone",2.5e+07,216639112,"DreamWorks",146
"Before Sunset",2004,"Drama","Romance",NA,"USA","Richard Linklater",8.1,201622,"R","Richard Linklater","Ethan Hawke",2700000,15936507,"Warner Independent Pictures (WIP)",80
"Blade Runner 2049",2017,"Drama","Thriller","Mystery","Canada","Denis Villeneuve",8,351618,"R","Hampton Fancher","Harrison Ford",1.5e+08,259334548,"Alcon Entertainment",164
"La La Land",2016,"Comedy","Romance","Music","Hong Kong","Damien Chazelle",8,409442,"PG-13","Damien Chazelle","Ryan Gosling",3e+07,448906865,"Summit Entertainment",128
"Guardians of the Galaxy",2014,"Adventure","Comedy","Action","USA","James Gunn",8.1,894940,"PG-13","James Gunn","Chris Pratt",1.7e+08,773350147,"Marvel Studios",121
